CGATS.17

CREATED "06/20/2022	#Time:	11:30:29"
INSTRUMENTATION "i1Pro 2 ; Serial number 0"
ILLUMINATION_NAME "D50"
OBSERVER_ANGLE "2"

NUMBER_OF_FIELDS 9
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B 
END_DATA_FORMAT

NUMBER_OF_SETS 432
BEGIN_DATA
146 J11 69.80000 0.00000 20.00000 0.00000 59.81851 -43.63137 -23.48627 
147 J12 69.80000 0.00000 40.00000 0.00000 58.94765 -51.36245 -8.559585 
148 J13 69.80000 0.00000 69.80000 0.00000 57.82860 -57.64172 12.66031 
149 J14 69.80000 0.00000 100.0000 0.00000 55.58195 -56.95716 41.53020 
150 J15 69.80000 20.00000 0.00000 0.00000 53.05949 -14.49522 -45.31966 
151 K1 69.80000 20.00000 20.00000 0.00000 52.75382 -26.27730 -27.01081 
152 K2 69.80000 20.00000 40.00000 0.00000 52.28909 -34.38994 -13.01501 
153 K3 69.80000 20.00000 69.80000 0.00000 52.10646 -41.50593 7.448757 
154 K4 69.80000 20.00000 100.0000 0.00000 50.58268 -43.92412 36.22071 
155 K5 69.80000 40.00000 0.00000 0.00000 45.76265 0.315070 -44.98820 
156 K6 69.80000 40.00000 20.00000 0.00000 45.52782 -9.608894 -30.06733 
157 K7 69.80000 40.00000 40.00000 0.00000 45.54309 -16.91687 -17.12749 
158 K8 69.80000 40.00000 69.80000 0.00000 45.72635 -24.82915 2.551699 
159 K9 69.80000 40.00000 100.0000 0.00000 45.55532 -28.80375 30.61945 
160 K10 100.0000 0.00000 0.00000 100.0000 8.943989 -1.052223 -0.0427365 
161 K11 60.00000 40.00000 40.00000 69.41000 28.30406 -0.814423 -2.473575 
162 K12 40.00000 29.41000 29.41000 60.00000 35.70441 1.375556 -1.051146 
163 K13 100.0000 0.00000 0.00000 0.00000 41.05393 -20.02339 -61.32465 
164 K14 100.0000 0.00000 20.00000 0.00000 40.60849 -35.52942 -47.02464 
165 K15 100.0000 0.00000 40.00000 0.00000 40.67897 -49.59167 -33.05107 
166 L1 100.0000 0.00000 69.80000 0.00000 41.22865 -67.14044 -11.01314 
167 L2 100.0000 0.00000 100.0000 0.00000 39.55017 -78.70798 17.01297 
168 L3 100.0000 20.00000 0.00000 0.00000 37.80066 -14.32742 -59.76576 
169 L4 100.0000 20.00000 20.00000 0.00000 37.85918 -28.00728 -46.95470 
170 L5 100.0000 20.00000 40.00000 0.00000 38.05611 -41.02138 -33.73428 
171 L6 100.0000 20.00000 69.80000 0.00000 37.89698 -57.40649 -13.28386 
172 L7 100.0000 20.00000 100.0000 0.00000 38.74257 -68.61280 15.32174 
173 L8 100.0000 40.00000 0.00000 0.00000 33.44978 -6.968856 -58.56352 
174 L9 100.0000 40.00000 20.00000 0.00000 33.66905 -19.30633 -47.00095 
175 L10 100.0000 40.00000 40.00000 0.00000 33.67665 -30.60348 -35.09757 
176 L11 100.0000 40.00000 69.80000 0.00000 34.38027 -45.83271 -14.77565 
177 L12 100.0000 40.00000 100.0000 0.00000 36.29898 -54.40064 11.11679 
178 L13 98.04000 29.02000 29.02000 70.59000 23.99709 -13.49619 -14.14694 
179 L14 100.0000 0.00000 0.00000 74.51000 22.17364 -15.43222 -22.07299 
180 L15 49.41000 0.00000 0.00000 74.51000 30.88239 -6.303012 -4.425841 
181 M1 3.530000 0.00000 0.00000 0.00000 86.60154 1.384288 -10.24680 
182 M2 7.450000 0.00000 0.00000 0.00000 84.96552 -0.992864 -12.60160 
183 M3 12.94000 0.00000 0.00000 0.00000 82.92867 -4.426807 -15.67686 
184 M4 29.80000 0.00000 0.00000 0.00000 77.06658 -12.88959 -23.91330 
185 M5 54.90000 0.00000 0.00000 0.00000 67.55859 -24.06874 -36.55846 
186 M6 82.35000 0.00000 0.00000 0.00000 55.30740 -30.40263 -50.14372 
187 M7 94.12000 0.00000 0.00000 0.00000 47.44117 -27.05091 -57.23745 
188 M8 0.00000 0.00000 0.00000 49.41000 56.95250 2.305806 -0.844800 
189 M9 0.00000 0.00000 34.51000 49.41000 54.49423 -1.216829 13.60240 
190 M10 0.00000 0.00000 64.71000 49.41000 52.86203 -3.833890 28.81494 
191 M11 0.00000 0.00000 100.0000 49.41000 55.62861 -5.030274 54.25312 
192 M12 0.00000 34.51000 0.00000 49.41000 47.24223 17.64691 -4.867792 
193 M13 0.00000 34.51000 34.51000 49.41000 45.10560 15.70222 7.433623 
194 M14 0.00000 34.51000 64.71000 49.41000 45.31276 13.53043 21.15745 
195 M15 0.00000 34.51000 100.0000 49.41000 48.02924 10.59467 45.66753 
196 N1 75.69000 49.41000 49.41000 54.51000 30.63332 -5.517364 -7.015079 
197 N2 98.43000 14.51000 14.51000 41.96000 32.22175 -24.23729 -32.59220 
198 N3 57.65000 15.69000 15.69000 41.96000 43.37891 -12.23013 -12.82516 
199 N4 0.00000 3.530000 0.00000 0.00000 85.72697 6.047338 -9.412039 
200 N5 0.00000 7.450000 0.00000 0.00000 83.54072 9.384573 -10.24299 
201 N6 0.00000 12.94000 0.00000 0.00000 80.43813 14.43705 -11.55707 
202 N7 0.00000 29.80000 0.00000 0.00000 73.15012 27.76045 -13.47121 
203 N8 0.00000 54.90000 0.00000 0.00000 62.02209 47.62763 -12.68206 
204 N9 0.00000 82.35000 0.00000 0.00000 50.05637 69.18538 -4.433548 
205 N10 0.00000 94.12000 0.00000 0.00000 44.57862 74.71171 10.72940 
206 N11 34.51000 0.00000 0.00000 49.41000 48.93956 -6.910920 -7.931292 
207 N12 34.51000 0.00000 34.51000 49.41000 47.33382 -12.06860 5.628002 
208 N13 34.51000 0.00000 64.71000 49.41000 47.66305 -15.57690 19.22228 
209 N14 34.51000 0.00000 100.0000 49.41000 50.58833 -16.99916 45.37923 
210 N15 34.51000 34.51000 0.00000 49.41000 40.47570 9.054438 -12.75979 
211 O1 34.51000 34.51000 34.51000 49.41000 40.20324 4.323289 -0.330108 
212 O2 34.51000 34.51000 64.71000 49.41000 41.16215 0.816062 12.60285 
213 O3 34.51000 34.51000 100.0000 49.41000 43.67318 -2.306759 34.51122 
214 O4 81.18000 61.57000 61.57000 36.86000 31.39166 -5.397931 -7.753533 
215 O5 60.00000 40.00000 40.00000 40.00000 38.08828 -4.763394 -7.233810 
216 O6 49.41000 40.00000 40.00000 29.41000 42.99425 -0.689119 -5.384922 
217 O7 0.00000 0.00000 3.530000 0.00000 87.62970 1.972288 -4.691875 
218 O8 0.00000 0.00000 7.450000 0.00000 87.45713 0.615686 -0.146055 
219 O9 0.00000 0.00000 12.94000 0.00000 87.16120 -0.972569 5.699563 
220 O10 0.00000 0.00000 29.80000 0.00000 86.29929 -4.364550 21.12393 
221 O11 0.00000 0.00000 54.90000 0.00000 84.95614 -7.378727 44.11521 
222 O12 0.00000 0.00000 82.35000 0.00000 83.27686 -7.414967 66.30542 
223 O13 0.00000 0.00000 94.12000 0.00000 81.70357 -5.296946 78.19048 
224 O14 64.71000 0.00000 0.00000 49.41000 41.80873 -16.57881 -17.46714 
225 O15 64.71000 0.00000 34.51000 49.41000 41.17159 -23.54406 -3.794605 
226 P1 64.71000 0.00000 64.71000 49.41000 42.02670 -27.68795 9.219450 
227 P2 64.71000 0.00000 100.0000 49.41000 44.09494 -30.30649 32.05779 
228 P3 64.71000 34.51000 0.00000 49.41000 35.20459 -1.416922 -21.09923 
229 P4 64.71000 34.51000 34.51000 49.41000 35.02721 -7.411778 -8.825630 
230 P5 64.71000 34.51000 64.71000 49.41000 36.43469 -12.11900 3.763455 
231 P6 64.71000 34.51000 100.0000 49.41000 39.03295 -15.11818 23.03573 
232 P7 100.0000 49.41000 49.41000 74.51000 22.12801 -8.259728 -8.319431 
